BASLIK;MARKA;MODEL;TEMEL OZELLIKLER - Seri;TEMEL OZELLIKLER - Donanim Paketi;TEMEL OZELLIKLER - Model Yillari;TEMEL OZELLIKLER - Ait Oldugu Ulke;TEMEL OZELLIKLER - Model Yili;TEMEL OZELLIKLER - Yakit Turu;TEMEL OZELLIKLER - Arac Turu;TEMEL OZELLIKLER - Govde Tipi;TEMEL OZELLIKLER - Segment;TEMEL OZELLIKLER - Motor Tipi;TEMEL OZELLIKLER - Yakit Tipi;MOTOR (Icten Yanmali) - Besleme Tipi;MOTOR (Icten Yanmali) - Silindir Adedi;MOTOR (Icten Yanmali) - Silindir Hacmi;MOTOR (Icten Yanmali) - Yakit Puskurtme;MOTOR (Elektrikli) - Batarya Kapasitesi;MOTOR (Elektrikli) - Batarya Tipi;MOTOR (Elektrikli) - Menzil (WLTP - Birlesik);MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici);MOTOR (Elektrikli) - Motor Gucu;MOTOR (Elektrikli) - Ortalama Tuketim (Elk.);MOTOR (Elektrikli) - Sarj Suresi;EKONOMI - MTV;EKONOMI - Bakim Masrafi (Tahmini);PERFORMANS - Azami Hiz;PERFORMANS - Azami Tork;PERFORMANS - Beygir Gucu;PERFORMANS - 0 - 100 Km Hizlanma;AGIRLIK & OLCULER - Agirlik;AGIRLIK & OLCULER - Genislik;AGIRLIK & OLCULER - Uzunluk;AGIRLIK & OLCULER - Yukseklik;BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk);BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk);DIS GOVDE - Kapi Sayisi;LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Taban Genisligi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Jant Capi;SANZIMAN & CEKIS SISTEMI - Cekis;SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi;SANZIMAN & CEKIS SISTEMI - Sanziman Turu;SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi;SANZIMAN & CEKIS SISTEMI - Sanziman Modeli;YAKIT TUKETIMI & EMISYON - Emisyon Standardi;YAKIT TUKETIMI & EMISYON - Ortalama Emisyon;YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km);YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi (lt);YOLCU EMNIYETI - Hava Yastigi Adedi;YOLCU EMNIYETI - NCAP/ANCAP Adedi;GOSTERGELER & SENSORLER - Far Sensoru;GOSTERGELER & SENSORLER - Lastik Basinc Sensoru;GOSTERGELER & SENSORLER - Park Sensoru & Yardimi;GOSTERGELER & SENSORLER - Yagmur Sensoru;ISITMA & SOGUTMA - Klima;KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi;KOLTUKLAR & IC DOSEME - Koltuk Sayisi;KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari;KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari;LAMBALAR & AYDINLATMA - Far Tipi;LAMBALAR & AYDINLATMA - Sis Farlari
Porsche 911 Carrera S 3.8 400 HP;Porsche;911 Carrera S;911;Standart;;Almanya;2015;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3800;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;59.730;;304;440;400;4.5;1395;1808;4491;1303;145;Koltuklar Katlanmıyor;3;235/40 R19;235;40%;19;Arkadan Itisli;Var;Manuel;7 ileri;Manuel;EURO 5;223;10.70;7.30;13.30;64;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera S;Porsche;911 Carrera S;911;Standart;;Almanya;2014;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3800;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;59.730;;304;440;400;4.5;1395;1808;4491;1303;135;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;Arkadan Itisli;Var;Manuel;7 ileri;Manuel;EURO 5;224;10.86;7.10;13.80;64;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel; Xenon; Var
Porsche 911 Carrera S Cabriolet 3.0 420 PS PDK;Porsche;911 Carrera S Cabriolet;911;Standart;;Almanya;2016;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.654;;304;440;420;4.3;1530;1808;4499;1291;145;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;Arkadan Itisli;Var;Otomatik;7 ileri;PDK;EURO 6;178;8.66;6.50;10.20;64;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera S 3.0 420 PS PDK;Porsche;911 Carrera S;911;Standart;;Almanya;2016;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.654;;306;440;420;4.1;1460;1808;4499;1296;145;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;Arkadan Itisli;Var;Otomatik;7 ileri;PDK;EURO 6;174;8.55;6.40;10.10;64;6;Test Edilmemiş;Var;Var;Yok;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera S Cabriolet 3.0 420 PS;Porsche;911 Carrera S Cabriolet;911;Standart;;Almanya;2016;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.654;;306;440;420;4.5;1510;1808;4499;1291;145;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;Arkadan Itisli;Yok;Manuel;7 ileri;Manuel;EURO 6;202;9.87;6.70;12.30;64;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera S 3.0 420 PS;Porsche;911 Carrera S;911;Standart;;Almanya;2016;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.654;;308;440;420;4.3;1440;1808;4499;1296;145;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;Arkadan Itisli;Yok;Manuel;7 ileri;Manuel;EURO 6;199;9.77;6.60;12.20;64;6;Test Edilmemiş;Var;Var;Yok;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; LED; Var
BMW i8 Hibrit 1.5 362 BG Otomatik (4x4);BMW;I8;i8;Pure Impulse;;Almanya;2018;Fosil Yakıt;Binek;Coupe;S;HEV (Benzinli & Elektrikli);Benzin & Elektrik;Cift Turbo;3;1500;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;21.344;;250;570;362;4.4;1485;1942;4689;1291;154;Koltuklar Katlanmıyor;3;195/50 R20;195;50%;20;4x4 Cekisli;Var;Otomatik;6 ileri;Steptronic;EURO 6.2;49;2.16;2.10;2.10;30;6;Test Edilmemiş;VAR;Var;Var;Var;Otomatik Klima; Deri & Kumas;4;Elektronik;Elektronik;LED Matrix;Var
BMW i8 Hibrit 1.5 362 BG Otomatik (4x4);BMW;I8;i8;Pure Impulse;;Almanya;2017;Fosil Yakıt;Binek;Coupe;S;HEV (Benzinli & Elektrikli);Benzin & Elektrik;Cift Turbo;3;1500;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.661;;250;570;362;4.4;1485;1942;4689;1291;154;Koltuklar Katlanmıyor;3;195/50 R20;195;50%;20;4x4 Cekisli;Var;Otomatik;6 ileri;Steptronic;EURO 6;49;2.16;2.10;2.10;30;6;Test Edilmemiş;VAR;Var;Var;Var;Otomatik Klima; Deri & Kumas;4;Elektronik;Elektronik;LED Matrix;Var
BMW i8 Hibrit 1.5 362 BG Otomatik (4x4);BMW;I8;i8;Pure Impulse;;Almanya;2016;Fosil Yakıt;Binek;Coupe;S;HEV (Benzinli & Elektrikli);Benzin & Elektrik;Cift Turbo;3;1500;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.661;;250;570;362;4.4;1485;1942;4689;1291;154;Koltuklar Katlanmıyor;3;195/50 R20;195;50%;20;4x4 Cekisli;Var;Otomatik;6 ileri;Steptronic;EURO 6;49;2.16;2.10;2.10;30;6;Test Edilmemiş;VAR;Var;Var;Var;Otomatik Klima; Deri & Kumas;4;Elektronik;Elektronik;LED Matrix;Var
BMW i8 Hibrit 1.5 362 BG Otomatik (4x4);BMW;I8;i8;Pure Impulse;;Almanya;2015;Fosil Yakıt;Binek;Coupe;S;HEV (Benzinli & Elektrikli);Benzin & Elektrik;Cift Turbo;3;1500;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.661;;250;570;362;4.4;1485;1942;4689;1291;154;Koltuklar Katlanmıyor;3;195/50 R20;195;50%;20;4x4 Cekisli;Var;Otomatik;6 ileri;Steptronic;EURO 5;49;2.16;2.10;2.10;30;6;Test Edilmemiş;VAR;Var;Var;Var;Otomatik Klima; Deri & Kumas;4;Elektronik;Elektronik;LED Matrix;Var
Porsche 911 Targa 4 3.0 370 HP (4x4);Porsche;911 Targa 4;911;Standart;;Almanya;2016;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.654;;289;390;370;4.7;1570;1852;4499;1288;125;Koltuklar Katlanmıyor;3;235/40 R19;235;40%;19;4x4 Cekisli;Var;Manuel;7 ileri;Manuel;EURO 6;206;10.02;6.90;12.40;67;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel; LED; Var
Maserati GranCabrio 4.7 V8 440 HP Otomatik;Maserati;Grancabrio;GranCabrio;Standart;;Italya;2016;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Cift Turbo;8;4691;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;85.377;;285;490;440;5.2;1980;1915;4881;1353;173;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;Arkadan Itisli;Var;Otomatik;6 ileri;ZF6;EURO 6;337;16.83;9.80;22.50;75;4;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; Xenon; Var
Maserati GranCabrio Sport 4.7 V8 450 HP Otomatik;Maserati;Grancabrio Sport;GranCabrio;Standart;;Italya;2016;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Cift Turbo;8;4691;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;85.377;;285;510;450;5.0;1980;1915;4881;1353;173;Koltuklar Katlanmıyor;3;245/35 R20;245;35%;20;Arkadan Itisli;Var;Otomatik;6 ileri;ZF6;EURO 6;337;16.83;9.80;22.50;75;4;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; Xenon; Var
BMW Z4 sDrive20i 2.0 184 BG Otomatik;BMW;Z4 Sdrive20I;Z4 Serisi;Turkiye Paketi;;Almanya;2016;Fosil Yakıt;Binek;Roadster;S;Icten Yanmali (Standart);Benzin;Cift Turbo;4;1997;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10.613;;232;270;184;6.9;1495;1790;4239;1291;180;Koltuklar Katlanmıyor;3;255/35 R18;255;35%;18;Arkadan Itisli;Var;Otomatik;8 ileri;Steptronic;EURO 6;159;7.63;5.30;9.40;55;4;4;Var;Var;Var;Var;Otomatik Klima;Kumas;2;Manuel;Manuel; LED; Var
BMW Z4 sDrive20i 2.0 184 BG Otomatik;BMW;Z4 Sdrive20I;Z4 Serisi;Turkiye Paketi;;Almanya;2015;Fosil Yakıt;Binek;Roadster;S;Icten Yanmali (Standart);Benzin;Cift Turbo;4;1997;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10.613;;232;270;184;6.9;1495;1790;4239;1291;180;Koltuklar Katlanmıyor;3;255/35 R18;255;35%;18;Arkadan Itisli;Var;Otomatik;8 ileri;Steptronic;EURO 5;159;7.63;5.30;9.40;55;4;4;Var;Var;Var;Var;Otomatik Klima;Kumas;2;Manuel;Manuel; LED; Var
BMW Z4 sDrive28i 2.0 245 BG Otomatik;BMW;Z4 Sdrive28I;Z4 Serisi;Turkiye Paketi;;Almanya;2015;Fosil Yakıt;Binek;Roadster;S;Icten Yanmali (Standart);Benzin;Cift Turbo;4;1997;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10.613;;250;350;245;5.5;1495;1790;4239;1291;180;Koltuklar Katlanmıyor;3;255/35 R18;255;35%;18;Arkadan Itisli;Var;Otomatik;8 ileri;Steptronic;EURO 5;159;7.63;5.30;9.40;55;4;4;Var;Var;Var;Var;Otomatik Klima;Kumas;2;Manuel;Manuel; LED; Var
Subaru BRZ 2.0 200 PS Otomatik Premium;Subaru;Brz;BRZ;Premium;;Japonya;2016;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;4;1998;Direkt Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10.613;;210;205;200;8.2;1278;1775;4240;1285;195;Koltuklar Katlanmıyor;3;215/45 R17;215;45%;17;Arkadan Itisli;Var;Otomatik;6 ileri;TR690;EURO 6;164;7.94;5.70;9.60;50;7;5;Var;Var;Yok;Yok;Otomatik Klima;Deri;4;Manuel;Manuel; LED; Var
Subaru BRZ 2.0 200 PS Otomatik Premium;Subaru;Brz;BRZ;Premium;;Japonya;2015;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;4;1998;Direkt Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10.613;;210;205;200;8.2;1278;1775;4240;1285;195;Koltuklar Katlanmıyor;3;215/45 R17;215;45%;17;Arkadan Itisli;Var;Otomatik;6 ileri;TR690;EURO 5;164;7.94;5.70;9.60;50;7;5;Var;Var;Yok;Yok;Otomatik Klima;Deri;4;Manuel;Manuel; LED; Var
Jaguar F-Type Convertible 3.0 V6 340 PS Manuel;Jaguar;F-Type Convertible;F-Type Convertible;Standart;;Ingiltere;2016;Fosil Yakıt;Binek;Roadster;S;Icten Yanmali (Standart);Benzin;Turbo;6;2995;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.654;;260;450;340;5.7;1587;1923;4470;1311;207;Koltuklar Katlanmıyor;3;245/45 R18;245;45%;18;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;234;10.96;7.60;13.50;70;2;5;Var;Var;Yok;Var;Otomatik Klima;Deri;2;Elektronik;Elektronik; Xenon; Var
Jaguar F-Type Convertible S 3.0 V6 380 PS Manuel;Jaguar;F-Type Convertible S;F-Type Convertible;Standart;;Ingiltere;2016;Fosil Yakıt;Binek;Roadster;S;Icten Yanmali (Standart);Benzin;Turbo;6;2995;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.654;;275;460;380;5.5;1604;1923;4470;1311;207;Koltuklar Katlanmıyor;3;245/45 R18;245;45%;18;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;234;10.96;7.60;13.50;70;2;5;Var;Var;Yok;Var;Otomatik Klima;Deri;2;Elektronik;Elektronik; Xenon; Var
Porsche 911 Carrera 4 Cabriolet 3.5 350 HP (4x4);Porsche;911 Carrera 4 Cabriolet;911;Standart;;Almanya;2015;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;40.486;;282;390;350;5.1;1500;1808;4491;1303;125;200;3;235/40 R19;235;40%;19;4x4 Cekisli;Var;Manuel;7 ileri;Manuel;EURO 5;223;10.69;7.50;13.10;68;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera 4 Cabriolet (4x4);Porsche;911 Carrera 4 Cabriolet 4X4;911;Standart;;Almanya;2014;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;40.486;;282;390;350;5.1;1500;1852;4491;1300;135;200;3;235/40 R19;235;40%;19;4x4 Cekisli;Var;Manuel;7 ileri;Manuel;EURO 5;224;10.76;7.20;13.50;68;8;Test Edilmemiş;Yok;Yok;Var;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel; Xenon; Var
Porsche 911 Carrera Cabriolet 3.5 350 HP Otomatik;Porsche;911 Carrera Cabriolet;911;Standart;;Almanya;2015;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;40.486;;284;390;350;4.8;1470;1808;4491;1299;145;200;3;235/40 R19;235;40%;19;Arkadan Itisli;Var;Otomatik;7 ileri;PDK;EURO 5;195;9.45;6.70;11.50;64;8;Test Edilmemiş;Yok;Yok;Var;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel; LED; Var
Porsche 911 Carrera Cabriolet Otomatik;Porsche;911 Carrera Cabriolet;911;Standart;;Almanya;2014;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;40.486;;284;390;350;4.8;1470;1808;4491;1299;135;200;3;235/40 R19;235;40%;19;Arkadan Itisli;Var;Otomatik;7 ileri;PDK;EURO 5;198;9.39;6.70;11.40;64;8;Test Edilmemiş;Yok;Yok;Var;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel; Xenon; Var
Porsche 911 Carrera Cabriolet 3.5 350 HP;Porsche;911 Carrera Cabriolet;911;Standart;;Almanya;2015;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;40.486;;286;390;350;5.0;1450;1808;4491;1299;145;200;3;235/40 R19;235;40%;19;Arkadan Itisli;Var;Manuel;7 ileri;Manuel;EURO 5;216;10.33;7.20;12.70;64;8;Test Edilmemiş;Yok;Yok;Var;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel; LED; Var
Porsche 911 Carrera Cabriolet;Porsche;911 Carrera Cabriolet;911;Standart;;Almanya;2014;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;40.486;;289;390;350;4.8;1450;1808;4491;1299;135;200;3;235/40 R19;235;40%;19;Arkadan Itisli;Var;Manuel;7 ileri;Manuel;EURO 5;217;10.44;7.00;13.10;64;8;Test Edilmemiş;Yok;Yok;Var;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel; Xenon; Var
Porsche 911 Carrera Cabriolet 3.0 370 HP;Porsche;911 Carrera Cabriolet;911;Standart;;Almanya;2016;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;2981;DFI (Dogrudan Yakit Enjeksiyonu);NaN;NaN;NaN;NaN;NaN;NaN;NaN;26.654;;292;450;370;4.8;1500;1808;4499;1289;145;200;3;235/40 R19;235;40%;19;Arkadan Itisli;Var;Manuel;7 ileri;Manuel;EURO 6;195;9.56;6.50;11.90;64;6;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel; LED; Var
Porsche 911 Carrera 4S Cabriolet 3.8 400HP Otomatik (4x4);Porsche;911 Carrera 4S Cabriolet;911;Standart;;Almanya;2015;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3800;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;59.730;;294;440;400;4.5;1500;1808;4491;1303;125;200;3;235/40 R19;235;40%;19;4x4 Cekisli;Var;Otomatik;7 ileri;PDK;EURO 5;214;10.18;7.10;12.50;68;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera 4S Cabriolet 3.8 400HP (4x4);Porsche;911 Carrera 4S Cabriolet;911;Standart;;Almanya;2015;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3800;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;59.730;;296;440;400;4.7;1500;1808;4491;1303;125;200;3;235/40 R19;235;40%;19;4x4 Cekisli;Var;Manuel;7 ileri;Manuel;EURO 5;235;11.22;7.70;13.90;68;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera S Cabriolet 3.8 400 HP Otomatik;Porsche;911 Carrera S Cabriolet;911;Standart;;Almanya;2015;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3800;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;59.730;;299;440;400;4.5;1485;1808;4491;1303;145;200;3;235/40 R19;235;40%;19;Arkadan Itisli;Var;Otomatik;7 ileri;PDK;EURO 5;207;9.92;6.90;12.20;64;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera S Cabriolet;Porsche;911 Carrera S Cabriolet;911;Standart;;Almanya;2014;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3800;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;59.730;;299;440;400;4.5;1465;1808;4491;1292;135;200;3;245/35 R20;245;35%;20;Arkadan Itisli;Var;Manuel;7 ileri;Manuel;EURO 5;210;10.02;6.90;12.40;64;8;Test Edilmemiş;Yok;Yok;Var;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel; Xenon; Var
Porsche 911 Carrera S Cabriolet Otomatik;Porsche;911 Carrera S Cabriolet;911;Standart;;Almanya;2014;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3800;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;59.730;;299;440;400;4.5;1485;1808;4491;1292;135;200;3;245/35 R20;245;35%;20;Arkadan Itisli;Var;Otomatik;7 ileri;PDK;EURO 5;210;10.02;6.90;12.40;64;8;Test Edilmemiş;Yok;Yok;Var;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel; Xenon; Var
Porsche 911 Carrera S Cabriolet 3.8 400 HP;Porsche;911 Carrera S Cabriolet;911;Standart;;Almanya;2015;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3800;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;59.730;;301;440;400;4.7;1465;1808;4491;1303;145;200;3;235/40 R19;235;40%;19;Arkadan Itisli;Var;Manuel;7 ileri;Manuel;EURO 5;228;10.96;7.50;13.60;64;8;Test Edilmemiş;Yok;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Turbo Cabriolet 3.8 520 HP PDK (4x4);Porsche;911;911;Standart;;Almanya;2015;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Cift Turbo;6;3800;DFI (Dogrudan Yakit Enjeksiyonu);NaN;NaN;NaN;NaN;NaN;NaN;NaN;59.730;;315;660;520;3.4;1450;1808;4499;1294;145;200;3;245/35 R20;245;35%;20;4x4 Cekisli;Var;Otomatik;7 ileri;PDK;EURO 5;227;10.85;7.70;13.20;64;4;Test Edilmemiş;Var;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; LED; Var
Porsche 911 Carrera Otomatik;Porsche;911 Carrera;911;Standart;;Almanya;2014;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;6;3436;Cok Noktadan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;40.486;;287;390;350;4.6;1400;1808;4491;1303;135;205;3;235/40 R19;235;40%;19;Arkadan Itisli;Var;Otomatik;7 ileri;PDK;EURO 5;194;9.19;6.50;11.20;64;8;Test Edilmemiş;Var;Yok;Yok;Yok;Otomatik Klima;Kumas & Deri;4;Elektronik;Manuel; Xenon; Var
Aston Martin DB9 V12 6.0 517 PS Touchtronic;Aston Martin;Db9 V12;DB9;Standart;;Ingiltere;2016;Fosil Yakıt;Binek;Coupe;S;Icten Yanmali (Standart);Benzin;Atmosferik;12;5935;Direkt Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;85.377;;295;620;517;4.6;1785;2061;4720;1282;165;227;3;245/35 R20;245;35%;20;Arkadan Itisli;Var;Otomatik;6 ileri;Touchtronic II;EURO 6;333;16.45;10.00;21.60;78;4;Test Edilmemiş;VAR;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; Xenon; Var
Aston Martin DB9 Volante V12 6.0 517 PS Touchtronic;Aston Martin;Db9 Volante V12;DB9;Standart;;Ingiltere;2016;Fosil Yakıt;Binek;Cabrio;S;Icten Yanmali (Standart);Benzin;Atmosferik;12;5935;Direkt Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;85.377;;295;620;517;4.6;1890;2061;4720;1282;165;227;3;245/35 R20;245;35%;20;Arkadan Itisli;Var;Otomatik;6 ileri;Touchtronic II;EURO 6;333;16.45;10.00;21.60;78;4;Test Edilmemiş;VAR;Var;Var;Var;Otomatik Klima;Deri;4;Elektronik;Elektronik; Xenon; Var
Mitsubishi Space Star 1.2 80 PS CVT Intense;Mitsubishi;Space Star;Space Star;Intense;;Japonya;2016;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1193;Elektronik Dogrudan Enjeksiyon;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.882;;173;106;80;12.8;865;1665;3795;1505;235;Koltuklar Katlanmıyor;5;175/55 R15;175;55%;15;Onden Cekisli;Var;Otomatik;Kademesiz;INVECS-III;EURO 6;104;4.86;4.00;5.40;35;6;4;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel; Halojen; Var
